City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,cunha,-23.0744,-44.9597,15.84,61,0,1.02,BR,1722731061
83,crane,31.3974,-102.3501,29.27,41,51,15.12,US,1722731061
84,tukrah,32.5341,20.5791,26.12,80,0,1.22,LY,1722731061
85,mbandaka,0.0487,18.2603,22.46,77,83,1.88,CD,1722731061
86,boda,4.3189,17.4695,20.92,94,100,0.71,CF,1722731061
87,longyearbyen,78.2186,15.6401,9.91,100,75,3.6,SJ,1722730817
88,port alfred,-33.5906,26.891,19.14,33,82,4.39,ZA,1722730970
89,ust-nera,64.5667,143.2,14.92,47,48,3.16,RU,1722730872
90,castillos,-34.1667,-53.8333,10.94,91,94,3.44,UY,1722730878
91,vilyuysk,63.7553,121.6247,18.95,45,4,1.43,RU,1722731062
92,vuktyl,63.8567,57.3094,15.18,99,100,2.58,RU,1722731062
93,puerto ayora,-0.7393,-90.3518,19.75,90,93,1.34,EC,1722730831
94,torzhok,57.0436,34.9622,12.29,97,21,1.76,RU,1722731062
95,hermanus,-34.4187,19.2345,11.98,81,81,10.09,ZA,1722730710
96,vila franca do campo,37.7167,-25.4333,22.23,84,54,0.98,PT,1722731063
97,mantua,45.1667,10.7833,24.58,90,15,2.64,IT,1722731063
98,ixtapa,20.7,-105.2,27.9,94,100,2.06,MX,1722731048
99,santa ana,33.7456,-117.8678,39.03,34,0,5.14,US,1722730301
100,bima,-8.4667,118.7167,25.72,76,74,1.63,ID,1722731063
101,ryotsu-minato,38.0833,138.4333,29.37,69,3,0.1,JP,1722731064
102,bahadurganj,26.2667,87.8167,24.82,96,100,5.3,IN,1722731064
103,ushuaia,-54.8,-68.3,-1.19,64,100,4.63,AR,1722730853
104,union city,37.5958,-122.0192,35.19,45,0,6.69,US,1722731064
105,avarua,-21.2078,-159.775,24.03,53,100,3.6,CK,1722730794
106,iqaluit,63.7506,-68.5145,4.85,80,40,8.75,CA,1722730768
107,antsiranana,-12.2787,49.2917,20.83,61,26,6.04,MG,1722731064
108,zouerate,22.7187,-12.4521,35.71,28,59,4.55,MR,1722731065
109,sterling,39.0062,-77.4286,23.89,98,75,4.12,US,1722731065
110,howard springs,-12.497,131.047,25.95,89,100,4.34,AU,1722731065
111,boca do acre,-8.7522,-67.3978,28.3,52,73,1.4,BR,1722731065
112,thompson,55.7435,-97.8558,20.94,27,30,4.14,CA,1722730812
113,sitka,57.0531,-135.33,17.94,63,40,6.17,US,1722730877
114,lerwick,60.1545,-1.1494,11.0,87,4,3.41,GB,1722730849
115,jamestown,42.097,-79.2353,23.8,80,0,1.54,US,1722730703
116,minas de marcona,-15.2119,-75.1103,10.97,87,20,6.66,PE,1722730793
117,geraldton,-28.7667,114.6,9.23,81,0,5.66,AU,1722731066
118,bethanie,-26.4833,17.15,14.91,21,45,5.72,NA,1722731066
119,kralendijk,12.15,-68.2667,28.99,79,20,6.69,BQ,1722731066
120,murzuq,25.9155,13.9184,29.31,18,0,3.76,LY,1722730817
121,island harbour,50.724,-1.2758,14.96,79,90,0.89,GB,1722730865
122,la passe,45.5549,-0.8967,17.13,85,39,2.92,FR,1722730909
123,badger,64.8,-147.5333,13.93,83,100,0.0,US,1722731067
124,iskateley,67.6803,53.1512,8.21,84,83,7.43,RU,1722730744
125,okha,53.5739,142.9478,16.75,54,12,1.84,RU,1722731067
126,mandal,25.45,74.5667,25.16,87,100,1.46,IN,1722731067
127,prado,-17.3411,-39.2208,22.56,87,9,5.05,BR,1722731067
128,muisne,0.6,-80.0333,23.97,86,96,4.26,EC,1722731067
129,jhang sadr,31.2715,72.3284,31.56,66,32,4.17,PK,1722731068
130,kone,-21.0595,164.8658,22.11,42,2,4.9,NC,1722730697
